Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,weather
Sunday,1,9/14/2014,"2,146","1,582",drizzle
Monday,2,9/15/2014,"3,621","2,528",rain
Tuesday,3,9/16/2014,"3,698","2,630",rain
Wednesday,4,9/17/2014,"3,667","2,614",rain
Thursday,5,9/18/2014,"3,316","2,366",rain
Friday,6,9/19/2014,"2,815","1,863",rain
Saturday,7,9/20/2014,"1,658","1,118",rain
Sunday,1,9/21/2014,"2,288","1,656",sun
Monday,2,9/22/2014,"3,638","2,586",rain
Tuesday,3,9/23/2014,"4,462","3,257",rain
Wednesday,4,9/24/2014,"4,414","3,175",sun
Thursday,5,9/25/2014,"4,315","3,029",sun
Friday,6,9/26/2014,"3,323","2,249",sun
Saturday,7,9/27/2014,"1,656","1,180",snow
Sunday,1,9/28/2014,"2,465","1,806",snow
Monday,2,9/29/2014,"4,096","2,873",snow
Tuesday,3,9/30/2014,"4,474","3,032",snow
Wednesday,4,10/1/2014,"4,124","2,849",snow
Thursday,5,10/2/2014,"3,514","2,489",snow
Friday,6,10/3/2014,"3,005","2,097",snow
Saturday,7,10/4/2014,"2,054","1,436",rain
Sunday,1,10/5/2014,"2,847","1,913",rain
Monday,2,10/6/2014,"4,501","3,181",rain
Tuesday,3,10/7/2014,"4,603","3,163",rain
Wednesday,4,10/8/2014,"4,187","3,014",rain
Thursday,5,10/9/2014,"4,343","2,864",rain
Friday,6,10/10/2014,"3,565","2,382",drizzle
Saturday,7,10/11/2014,"2,080","1,457",rain
Sunday,1,10/12/2014,"3,031","2,089",rain
Monday,2,10/13/2014,"4,814","3,339",rain
Tuesday,3,10/14/2014,"5,040","3,604",rain
Wednesday,4,10/15/2014,"5,028","3,515",rain
Thursday,5,10/16/2014,"4,658","3,331",sun
Friday,6,10/17/2014,"3,624","2,477",sun
Saturday,7,10/18/2014,"2,285","1,619",sun
Sunday,1,10/19/2014,"3,454","2,346",sun
Monday,2,10/20/2014,"5,307","3,717",sun
Tuesday,3,10/21/2014,"5,135","3,701",rain
Wednesday,4,10/22/2014,"5,084","3,611",rain
Thursday,5,10/23/2014,"4,650","3,316",rain
Friday,6,10/24/2014,"3,571","2,498",rain
Saturday,7,10/25/2014,"2,354","1,661",rain
Sunday,1,10/26/2014,"3,497","2,508",rain
Monday,2,10/27/2014,"5,294","3,737",rain
Tuesday,3,10/28/2014,"4,643","3,328",rain
Wednesday,4,10/29/2014,"4,596","3,279",drizzle
Thursday,5,10/30/2014,"4,162","3,041",rain
Friday,6,10/31/2014,"2,933","2,007",rain
Saturday,7,11/1/2014,"2,202","1,496",rain
Sunday,1,11/2/2014,"3,083","2,204",sun
Monday,2,11/3/2014,"4,376","3,057",rain
Tuesday,3,11/4/2014,"4,704","3,141",rain
Wednesday,4,11/5/2014,"4,306","3,200",rain
Thursday,5,11/6/2014,"4,178","3,034",sun
Friday,6,11/7/2014,"3,236","2,318",rain
Saturday,7,11/8/2014,"2,010","1,536",rain
Sunday,1,11/9/2014,"2,901","2,141",snow
Monday,2,11/10/2014,"4,754","3,325",sun
Tuesday,3,11/11/2014,"4,417","3,203",snow
Wednesday,4,11/12/2014,"4,535","3,351",snow
Thursday,5,11/13/2014,"4,274","3,194",sun
Friday,6,11/14/2014,"3,382","2,423",rain
Saturday,7,11/15/2014,"2,085","1,488",sun
Sunday,1,11/16/2014,"3,083","2,215",rain
Monday,2,11/17/2014,"4,860","3,559",rain
Tuesday,3,11/18/2014,"4,893","3,570",snow
Wednesday,4,11/19/2014,"4,866","3,544",sun
Thursday,5,11/20/2014,"4,584","3,357",sun
Friday,6,11/21/2014,"3,914","2,750",rain
Saturday,7,11/22/2014,"2,431","1,716",rain
Sunday,1,11/23/2014,"3,157","2,369",rain
Monday,2,11/24/2014,"5,045","3,615",snow
Tuesday,3,11/25/2014,"4,746","3,236",snow
Wednesday,4,11/26/2014,"4,314","2,919",rain
Thursday,5,11/27/2014,"3,663","2,476",snow
Friday,6,11/28/2014,"3,270","2,268",rain
Saturday,7,11/29/2014,"2,905","1,976",snow
Sunday,1,11/30/2014,"4,016","2,832",rain
Monday,2,12/1/2014,"5,266","3,877",rain
Tuesday,3,12/2/2014,"5,795","4,274",rain
Wednesday,4,12/3/2014,"5,728","4,217",rain
Thursday,5,12/4/2014,"5,293","3,830",rain
Friday,6,12/5/2014,"3,934","2,856",sun
Saturday,7,12/6/2014,"3,071","2,165",sun
Sunday,1,12/7/2014,"3,876","2,984",rain
Monday,2,12/8/2014,"5,878","4,375",drizzle
Tuesday,3,12/9/2014,"5,712","4,187",rain
Wednesday,4,12/10/2014,"5,491","4,074",rain
Thursday,5,12/11/2014,"5,144","3,801",rain
Friday,6,12/12/2014,"3,880","2,860",rain
Saturday,7,12/13/2014,"2,605","1,838",rain
Sunday,1,12/14/2014,"3,625","2,650",rain
Monday,2,12/15/2014,"4,685","3,478",sun
Tuesday,3,12/16/2014,"4,891","3,338",rain
Wednesday,4,12/17/2014,"4,222","3,053",sun
Thursday,5,12/18/2014,"3,691","2,690",snow
Friday,6,12/19/2014,"2,748","1,879",rain
Saturday,7,12/20/2014,"1,380","1,011",sun
Sunday,1,12/21/2014,"1,474","1,054",sun
Monday,2,12/22/2014,"2,452","1,715",sun
Tuesday,3,12/23/2014,"2,298","1,440",rain
Wednesday,4,12/24/2014,"1,430",947,rain
Thursday,5,12/25/2014,"1,002",667,rain
Friday,6,12/26/2014,"1,486","1,005",drizzle
Saturday,7,12/27/2014,"1,345",941,sun
Sunday,1,12/28/2014,"1,453",948,rain
Monday,2,12/29/2014,"2,173","1,472",rain
Tuesday,3,12/30/2014,"2,208","1,424",rain
Wednesday,4,12/31/2014,"1,381",955,rain
Thursday,5,1/1/2015,"1,265",876,rain
Friday,6,1/2/2015,"1,948","1,288",rain
Saturday,7,1/3/2015,"1,742","1,096",sun
Sunday,1,1/4/2015,"1,896","1,409",rain
Monday,2,1/5/2015,"3,033","2,062",sun
Tuesday,3,1/6/2015,"3,445","2,327",rain
Wednesday,4,1/7/2015,"3,423","2,384",rain
Thursday,5,1/8/2015,"3,319","2,272",rain
Friday,6,1/9/2015,"2,783","1,941",rain
Saturday,7,1/10/2015,"1,952","1,240",drizzle
Sunday,1,1/11/2015,"2,245","1,611",rain
Monday,2,1/12/2015,"3,928","2,518",rain
Tuesday,3,1/13/2015,"3,810","2,621",rain
Wednesday,4,1/14/2015,"3,931","2,656",rain
Thursday,5,1/15/2015,"3,523","2,457",rain
Friday,6,1/16/2015,"2,943","1,928",rain
Saturday,7,1/17/2015,"1,751","1,237",sun
Sunday,1,1/18/2015,"2,491","1,762",sun
Monday,2,1/19/2015,"3,766","2,665",sun
Tuesday,3,1/20/2015,"4,194","2,852",sun
Wednesday,4,1/21/2015,"4,038","2,916",rain
Thursday,5,1/22/2015,"3,891","2,702",sun
Friday,6,1/23/2015,"3,111","2,181",sun
Saturday,7,1/24/2015,"1,946","1,414",sun
Sunday,1,1/25/2015,"2,802","2,010",sun
Monday,2,1/26/2015,"3,892","2,841",sun
Tuesday,3,1/27/2015,"4,172","3,003",drizzle
Wednesday,4,1/28/2015,"4,464","3,280",sun
Thursday,5,1/29/2015,"4,377","3,143",rain
Friday,6,1/30/2015,"3,734","2,514",rain
Saturday,7,1/31/2015,"2,262","1,657",sun
Sunday,1,2/1/2015,"3,050","2,122",rain
Monday,2,2/2/2015,"4,794","3,366",rain
Tuesday,3,2/3/2015,"4,936","3,423",rain
Wednesday,4,2/4/2015,"5,016","3,500",rain
Thursday,5,2/5/2015,"4,489","3,170",rain
Friday,6,2/6/2015,"3,505","2,468",rain
Saturday,7,2/7/2015,"2,264","1,679",sun
Sunday,1,2/8/2015,"3,314","2,435",sun
Monday,2,2/9/2015,"5,095","3,619",rain
Tuesday,3,2/10/2015,"5,525","3,793",sun
Wednesday,4,2/11/2015,"5,074","3,689",rain
Thursday,5,2/12/2015,"4,571","3,319",rain
Friday,6,2/13/2015,"3,570","2,664",rain
Saturday,7,2/14/2015,"2,182","1,565",rain
Sunday,1,2/15/2015,"3,265","2,277",sun
Monday,2,2/16/2015,"4,670","3,297",rain
Tuesday,3,2/17/2015,"4,764","3,452",rain
Wednesday,4,2/18/2015,"4,943","3,526",sun
Thursday,5,2/19/2015,"4,790","3,307",rain
Friday,6,2/20/2015,"3,604","2,621",rain
Saturday,7,2/21/2015,"2,455","1,823",rain
Sunday,1,2/22/2015,"3,650","2,690",sun
Monday,2,2/23/2015,"5,463","3,975",rain
Tuesday,3,2/24/2015,"5,884","4,112",rain
Wednesday,4,2/25/2015,"5,615","4,019",sun
Thursday,5,2/26/2015,"5,289","3,747",sun
Friday,6,2/27/2015,"4,434","2,969",sun
Saturday,7,2/28/2015,"2,665","1,977",rain
Sunday,1,3/1/2015,"3,907","2,906",sun
Monday,2,3/2/2015,"5,308","3,778",rain
Tuesday,3,3/3/2015,"5,773","4,025",rain
Wednesday,4,3/4/2015,"5,585","4,060",sun
Thursday,5,3/5/2015,"4,783","3,582",sun
Friday,6,3/6/2015,"3,893","2,707",rain
Saturday,7,3/7/2015,"2,917","2,048",rain
Sunday,1,3/8/2015,"3,353","2,468",drizzle
Monday,2,3/9/2015,"5,400","3,824",rain
Tuesday,3,3/10/2015,"5,395","3,926",rain
Wednesday,4,3/11/2015,"5,229","3,859",sun
Thursday,5,3/12/2015,"5,371","3,784",rain
Friday,6,3/13/2015,"4,185","3,045",rain
Saturday,7,3/14/2015,"2,724","1,988",rain
Sunday,1,3/15/2015,"3,590","2,620",rain
Monday,2,3/16/2015,"5,367","3,771",rain
Tuesday,3,3/17/2015,"5,440","3,968",rain
Wednesday,4,3/18/2015,"5,465","4,043",sun
Thursday,5,3/19/2015,"5,318","3,813",drizzle
Friday,6,3/20/2015,"4,225","2,916",sun
Saturday,7,3/21/2015,"2,687","1,975",sun
Sunday,1,3/22/2015,"3,791","2,786",rain
Monday,2,3/23/2015,"5,661","3,949",rain
Tuesday,3,3/24/2015,"5,759","4,081",drizzle
Wednesday,4,3/25/2015,"5,599","3,983",fog
Thursday,5,3/26/2015,"5,103","3,755",drizzle
Friday,6,3/27/2015,"4,313","2,946",rain
Saturday,7,3/28/2015,"2,971","2,011",rain
Sunday,1,3/29/2015,"3,662","2,693",rain
Monday,2,3/30/2015,"5,635","3,985",rain
Tuesday,3,3/31/2015,"5,581","3,963",sun
Wednesday,4,4/1/2015,"5,329","3,761",sun
Thursday,5,4/2/2015,"4,553","3,214",sun
Friday,6,4/3/2015,"3,423","2,404",rain
Saturday,7,4/4/2015,"2,708","1,807",sun
Sunday,1,4/5/2015,"3,306","2,266",rain
Monday,2,4/6/2015,"5,203","3,692",rain
Tuesday,3,4/7/2015,"5,712","4,104",sun
Wednesday,4,4/8/2015,"5,601","4,015",sun
Thursday,5,4/9/2015,"5,486","4,063",drizzle
Friday,6,4/10/2015,"4,178","3,213",drizzle
Saturday,7,4/11/2015,"2,878","2,153",drizzle
Sunday,1,4/12/2015,"4,169","2,903",sun
Monday,2,4/13/2015,"6,372","4,485",sun
Tuesday,3,4/14/2015,"6,240","4,391",sun
Wednesday,4,4/15/2015,"6,170","4,409",drizzle
Thursday,5,4/16/2015,"6,071","4,275",sun
Friday,6,4/17/2015,"4,682","3,307",sun
Saturday,7,4/18/2015,"3,208","2,291",sun
Sunday,1,4/19/2015,"4,310","3,144",sun
Monday,2,4/20/2015,"6,435","4,694",rain
Tuesday,3,4/21/2015,"6,299","4,455",drizzle
Wednesday,4,4/22/2015,"6,360","4,512",sun
Thursday,5,4/23/2015,"6,349","4,360",drizzle
Friday,6,4/24/2015,"4,660","3,387",sun
Saturday,7,4/25/2015,"3,354","2,420",sun
Sunday,1,4/26/2015,"4,371","3,189",sun
Monday,2,4/27/2015,"6,534","4,731",sun
Tuesday,3,4/28/2015,"6,832","4,941",sun
Wednesday,4,4/29/2015,"6,689","4,870",sun
Thursday,5,4/30/2015,"5,849","4,086",sun
Friday,6,5/1/2015,"4,247","3,064",sun
Saturday,7,5/2/2015,"3,219","2,360",drizzle
Sunday,1,5/3/2015,"4,211","3,210",drizzle
Monday,2,5/4/2015,"6,424","4,752",sun
Tuesday,3,5/5/2015,"6,223","4,520",rain
Wednesday,4,5/6/2015,"6,551","4,768",sun
Thursday,5,5/7/2015,"6,343","4,449",sun
Friday,6,5/8/2015,"4,696","3,366",sun
Saturday,7,5/9/2015,"3,134","2,239",sun
Sunday,1,5/10/2015,"3,868","2,844",sun
Monday,2,5/11/2015,"6,020","4,482",sun
Tuesday,3,5/12/2015,"5,705","4,160",sun
Wednesday,4,5/13/2015,"5,752","4,016",sun
Thursday,5,5/14/2015,"5,181","3,605",sun
Friday,6,5/15/2015,"4,269","2,913",sun
Saturday,7,5/16/2015,"2,633","1,818",sun
Sunday,1,5/17/2015,"3,336","2,376",sun
Monday,2,5/18/2015,"5,127","3,587",sun
Tuesday,3,5/19/2015,"5,449","3,767",sun
Wednesday,4,5/20/2015,"5,746","3,956",sun
Thursday,5,5/21/2015,"5,115","3,642",sun
Friday,6,5/22/2015,"3,995","2,749",sun
Saturday,7,5/23/2015,"2,618","1,884",sun
Sunday,1,5/24/2015,"2,961","2,117",rain
Monday,2,5/25/2015,"4,090","2,913",rain
Tuesday,3,5/26/2015,"5,201","3,637",sun
Wednesday,4,5/27/2015,"5,321","3,797",sun
Thursday,5,5/28/2015,"5,219","3,509",sun
Friday,6,5/29/2015,"4,017","2,804",sun
Saturday,7,5/30/2015,"2,297","1,629",sun
Sunday,1,5/31/2015,"3,145","2,226",sun
Monday,2,6/1/2015,"4,905","3,419",fog
Tuesday,3,6/2/2015,"4,747","3,284",sun
Wednesday,4,6/3/2015,"4,591","3,317",drizzle
Thursday,5,6/4/2015,"4,431","3,173",drizzle
Friday,6,6/5/2015,"3,608","2,523",drizzle
Saturday,7,6/6/2015,"2,422","1,673",rain
Sunday,1,6/7/2015,"3,132","2,145",fog
Monday,2,6/8/2015,"4,962","3,377",fog
Tuesday,3,6/9/2015,"4,881","3,469",sun
Wednesday,4,6/10/2015,"5,001","3,425",drizzle
Thursday,5,6/11/2015,"4,635","3,242",drizzle
Friday,6,6/12/2015,"3,545","2,494",rain
Saturday,7,6/13/2015,"2,262","1,490",sun
Sunday,1,6/14/2015,"2,866","2,034",sun
Monday,2,6/15/2015,"4,692","3,261",sun
Tuesday,3,6/16/2015,"4,602","3,204",sun
Wednesday,4,6/17/2015,"4,620","3,101",sun
Thursday,5,6/18/2015,"4,475","2,955",sun
Friday,6,6/19/2015,"3,564","2,422",sun
Saturday,7,6/20/2015,"2,071","1,370",sun
Sunday,1,6/21/2015,"2,659","1,840",sun
Monday,2,6/22/2015,"4,338","2,963",sun
Tuesday,3,6/23/2015,"4,531","3,139",drizzle
Wednesday,4,6/24/2015,"4,498","3,022",drizzle
Thursday,5,6/25/2015,"4,128","2,730",drizzle
Friday,6,6/26/2015,"3,132","2,153",rain
Saturday,7,6/27/2015,"1,829","1,264",rain
Sunday,1,6/28/2015,"2,149","1,517",rain
Monday,2,6/29/2015,"3,975","2,691",rain
Tuesday,3,6/30/2015,"4,046","2,718",sun
Wednesday,4,7/1/2015,"3,897","2,745",sun
Thursday,5,7/2/2015,"3,871","2,540",rain
Friday,6,7/3/2015,"2,630","1,716",rain
Saturday,7,7/4/2015,"1,602","1,104",rain
Sunday,1,7/5/2015,"1,960","1,370",rain
Monday,2,7/6/2015,"4,143","2,655",rain
Tuesday,3,7/7/2015,"4,205","2,789",rain
Wednesday,4,7/8/2015,"4,193","2,783",rain
Thursday,5,7/9/2015,"3,710","2,536",sun
Friday,6,7/10/2015,"3,137","2,203",rain
Saturday,7,7/11/2015,"1,834","1,145",rain
Sunday,1,7/12/2015,"2,070","1,473",rain
Monday,2,7/13/2015,"4,180","2,852",rain
Tuesday,3,7/14/2015,"4,038","2,731",rain
Wednesday,4,7/15/2015,"3,906","2,667",rain
Thursday,5,7/16/2015,"3,580","2,424",rain
Friday,6,7/17/2015,"2,948","2,070",rain
Saturday,7,7/18/2015,"1,622","1,121",rain
Sunday,1,7/19/2015,"2,179","1,480",rain
Monday,2,7/20/2015,"3,906","2,615",rain
Tuesday,3,7/21/2015,"3,745","2,596",rain
Wednesday,4,7/22/2015,"4,212","2,761",rain
Thursday,5,7/23/2015,"3,901","2,595",rain
Friday,6,7/24/2015,"3,292","2,207",rain
Saturday,7,7/25/2015,"1,819","1,229",sun
Sunday,1,7/26/2015,"2,068","1,562",rain
Monday,2,7/27/2015,"3,991","2,805",rain
Tuesday,3,7/28/2015,"4,073","2,862",rain
Wednesday,4,7/29/2015,"4,069","2,825",rain
Thursday,5,7/30/2015,"3,716","2,629",drizzle
Friday,6,7/31/2015,"3,380","2,120",rain
Saturday,7,8/1/2015,"1,737","1,197",rain
Sunday,1,8/2/2015,"2,181","1,567",rain
Monday,2,8/3/2015,"3,973","2,794",rain
Tuesday,3,8/4/2015,"3,997","2,794",rain
Wednesday,4,8/5/2015,"4,132","2,798",rain
Thursday,5,8/6/2015,"3,791","2,693",rain
Friday,6,8/7/2015,"2,968","2,139",rain
Saturday,7,8/8/2015,"1,752","1,266",rain
Sunday,1,8/9/2015,"2,070","1,497",drizzle
Monday,2,8/10/2015,"3,920","2,684",fog
Tuesday,3,8/11/2015,"4,106","2,791",sun
Wednesday,4,8/12/2015,"4,006","2,726",rain
Thursday,5,8/13/2015,"3,827","2,639",rain
Friday,6,8/14/2015,"2,944","1,973",rain
Saturday,7,8/15/2015,"1,827","1,193",rain
Sunday,1,8/16/2015,"2,373","1,658",rain
Monday,2,8/17/2015,"4,031","2,763",rain
Tuesday,3,8/18/2015,"4,027","2,780",rain
Wednesday,4,8/19/2015,"3,912","2,795",rain
Thursday,5,8/20/2015,"3,867","2,715",rain
Friday,6,8/21/2015,"3,304","2,238",rain
Saturday,7,8/22/2015,"1,685","1,208",sun
Sunday,1,8/23/2015,"2,130","1,542",rain
Monday,2,8/24/2015,"3,936","2,697",rain
Tuesday,3,8/25/2015,"4,029","2,744",rain
Wednesday,4,8/26/2015,"4,010","2,789",rain
Thursday,5,8/27/2015,"4,027","2,890",rain
Friday,6,8/28/2015,"2,829","2,000",rain
Saturday,7,8/29/2015,"1,736","1,227",snow
Sunday,1,8/30/2015,"2,517","1,686",snow
Monday,2,8/31/2015,"4,029","2,769",rain
Tuesday,3,9/1/2015,"4,261","2,890",snow
Wednesday,4,9/2/2015,"4,058","2,923",snow
Thursday,5,9/3/2015,"4,392","3,007",rain
Friday,6,9/4/2015,"3,072","2,221",rain
Saturday,7,9/5/2015,"1,799","1,284",rain
Sunday,1,9/6/2015,"2,341","1,611",rain
Monday,2,9/7/2015,"3,330","2,354",rain
Tuesday,3,9/8/2015,"4,734","3,381",snow
Wednesday,4,9/9/2015,"4,801","3,381",rain
Thursday,5,9/10/2015,"4,399","3,079",rain
Friday,6,9/11/2015,"3,275","2,375",rain
Saturday,7,9/12/2015,"2,042","1,429",rain
Sunday,1,9/13/2015,"2,827","2,103",drizzle
Monday,2,9/14/2015,"4,836","3,437",drizzle
Tuesday,3,9/15/2015,"4,840","3,465",sun
Wednesday,4,9/16/2015,"4,504","3,356",sun
Thursday,5,9/17/2015,"4,379","3,240",rain
Friday,6,9/18/2015,"3,391","2,428",rain
Saturday,7,9/19/2015,"2,045","1,513",rain
Sunday,1,9/20/2015,"2,721","2,081",rain
Monday,2,9/21/2015,"4,630","3,535",rain
Tuesday,3,9/22/2015,"4,748","3,540",rain
Wednesday,4,9/23/2015,"4,702","3,377",rain
Thursday,5,9/24/2015,"4,440","3,309",snow
Friday,6,9/25/2015,"3,513","2,518",drizzle
Saturday,7,9/26/2015,"2,253","1,633",sun
Sunday,1,9/27/2015,"3,141","2,291",sun
Monday,2,9/28/2015,"5,122","3,808",sun
Tuesday,3,9/29/2015,"5,151","3,868",sun
Wednesday,4,9/30/2015,"4,969","3,703",drizzle
Thursday,5,10/1/2015,"4,619","3,365",drizzle
Friday,6,10/2/2015,"3,443","2,598",drizzle
Saturday,7,10/3/2015,"2,302","1,754",drizzle
Sunday,1,10/4/2015,"3,291","2,506",drizzle
Monday,2,10/5/2015,"5,206","3,737",drizzle
Tuesday,3,10/6/2015,"5,474","3,940",drizzle
Wednesday,4,10/7/2015,"5,400","3,934",rain
Thursday,5,10/8/2015,"5,334","3,821",rain
Friday,6,10/9/2015,"4,174","3,022",rain
Saturday,7,10/10/2015,"2,571","1,853",rain
Sunday,1,10/11/2015,"3,572","2,636",rain
Monday,2,10/12/2015,"5,018","3,788",rain
Tuesday,3,10/13/2015,"5,565","4,159",rain
Wednesday,4,10/14/2015,"5,420","4,048",rain
Thursday,5,10/15/2015,"5,366","3,908",rain
Friday,6,10/16/2015,"4,091","3,002",rain
Saturday,7,10/17/2015,"2,824","2,087",drizzle
Sunday,1,10/18/2015,"3,843","2,825",rain
Monday,2,10/19/2015,"5,516","4,140",rain
Tuesday,3,10/20/2015,"5,572","4,121",rain
Wednesday,4,10/21/2015,"5,243","3,882",rain
Thursday,5,10/22/2015,"5,133","3,720",rain
Friday,6,10/23/2015,"4,084","2,947",sun
Saturday,7,10/24/2015,"2,739","1,978",rain
Sunday,1,10/25/2015,"3,781","2,857",drizzle
Monday,2,10/26/2015,"5,684","4,073",rain
Tuesday,3,10/27/2015,"5,687","4,179",rain
Wednesday,4,10/28/2015,"5,906","4,266",rain
Thursday,5,10/29/2015,"5,541","4,020",rain
Friday,6,10/30/2015,"4,171","3,043",drizzle
Saturday,7,10/31/2015,"2,586","1,820",rain
Sunday,1,11/1/2015,"3,838","2,922",rain
Monday,2,11/2/2015,"5,675","4,076",rain
Tuesday,3,11/3/2015,"5,624","4,178",sun
Wednesday,4,11/4/2015,"5,794","4,316",rain
Thursday,5,11/5/2015,"5,389","4,031",rain
Friday,6,11/6/2015,"4,305","3,047",rain
Saturday,7,11/7/2015,"3,281","2,202",rain
Sunday,1,11/8/2015,"3,790","2,837",rain
Monday,2,11/9/2015,"5,894","4,203",rain
Tuesday,3,11/10/2015,"5,461","4,048",rain
Wednesday,4,11/11/2015,"5,206","3,869",rain
Thursday,5,11/12/2015,"5,228","3,929",rain
Friday,6,11/13/2015,"4,097","2,971",rain
Saturday,7,11/14/2015,"2,694","1,964",rain
